institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Goldsmiths' College,10002718,34.0,"Communication, Cultural and Media Studies, Library and Information Management",c39a7c40-ba6b-41bb-85fb-791112ae7f29,‘Human Rights are Digital Rights’: Humanizing the Internet,D,3.667,High,15.859002771362611,13.614309127020785,19.80405740324394,23.418296892980436,0.2623,0.0,0.0772,0.5399,0.6486,50,12,24,,0.0,1738,19
Goldsmiths' College,10002718,34.0,"Communication, Cultural and Media Studies, Library and Information Management",c39a7c40-ba6b-41bb-85fb-791112ae7f29,‘Human Rights are Digital Rights’: Humanizing the Internet,D,3.0,Low,15.859002771362611,13.614309127020785,19.80405740324394,23.418296892980436,0.2623,0.0,0.0772,0.5399,0.6486,50,12,24,,0.0,1738,19
"University of Nottingham, The",10007154,26.0,Modern Languages and Linguistics,0a7fdd93-7aa7-422c-a2f8-47091a08127b,"‘Hungry for Words’: Using narratives to transform how eating disorders in  men and boys are understood in healthcare, education, and by creative practitioners",D,3.5,High,38.961754059089714,13.078509593520666,15.532846611407376,17.959376603421546,0.3349,0.0,0.3918,0.5712,0.8251,34,15,11,"487,830; 1,008,666; \(2017\",1498513.0,2403,23
University of Northumbria at Newcastle,10001282,17.0,Business and Management Studies,3d0a8fd5-8702-45b8-b002-1f4fd4042f38,"‘It’s our shout!’: Enabling rural communities to save their local pubs and foster community cohesion, wellbeing, employment, and business opportunities",C,3.0,Low,25.91115942028989,13.773414492753624,17.80541091248751,20.891983705278072,0.3809,-0.0206,0.4939,0.743,0.8849,16,11,8,,0.0,941,12
Queen's University of Belfast,10005343,14.0,Geography and Environmental Studies,9ff8da52-9796-4600-8bfc-b1f2f22b00b6,‘Living Legacies 1914-18’: Sharing contested heritage through digital and spatial humanities,C,2.75,Low,-1.5264665299272622,14.1797151940545,22.623850881595892,29.158341126405382,0.3496,0.0,0.3481,0.6591,0.8402,26,3,9,###; ###  4; £94 million,94000004.0,1228,24
University of St Andrews,10007803,27.0,English Language and Literature,38cdf896-7e30-480c-a8ea-8ade1f3113e4,‘Making it New’: Medieval Poetry in Modernity,D,3.667,High,19.051606705717802,12.865377366172908,17.985709188470544,21.770248311186997,0.2489,0.0,0.0,0.5785,0.7722,44,30,7,750\; approximately £350,1100.0,2127,21
The University of Bradford,10007785,8.0,Chemistry,7b5ab914-b25b-456f-be0e-29c7af68b2a8,‘Molecular Music’ and the Sound of Chemistry: Bridging arts and  science to move students and the public beyond a traditional separation of discipline  fields,B,2.75,Low,21.44862179167086,12.242699793601652,18.208739680815512,20.5045752908514,0.3513,-0.0357,0.3597,0.6734,0.8728,15,2,1,###; ###  4,4.0,976,16
The University of Lancaster,10007768,7.0,Earth Systems and Environmental Sciences,524fb451-a8da-4bfe-95d7-176713daf242,‘More crop per drop’: exploiting plant hormone signalling in agricultural technologies that enhance water and food security.,B,3.8329999999999997,High,25.85700257163853,13.603834119869845,16.0122159274455,17.20226493506493,0.1825,-0.296,0.2023,0.4758,0.628,18,5,14,###; ###  4; ####; approximately RMB 1728 million Yuan; 8.65 RMB Yuan; ####  ,1728000012.65,1375,19
York St John University,10007713,21.0,Sociology,716cf3c5-cd91-4707-add0-8ffcb2bf77e2,‘Moving beyond one-size-fits-all:’ Improving Widening Participation through Realist Evaluation methodologies in Northern England,C,1.5,Low,18.403202498356364,13.442148231426692,18.26757821502104,20.473012851797627,0.3789,0.0,0.4084,0.7834,0.8511,17,4,6,"###; 100,000; ###  4; 100,000",200004.0,1366,10
University of Gloucestershire,10007145,34.0,"Communication, Cultural and Media Studies, Library and Information Management",95c1638e-3cc5-4efb-9e3c-f1c64862c2e7,‘MYSTY': Digital Storytelling for Diversity Training in Schools,D,2.75,Low,26.38334313725491,12.895325098039216,15.142480068351567,18.037069033530578,0.1049,0.0,0.0,0.2732,0.3776,12,8,11,###; ###  4; ###  AFFECTIVE; ###  ; ###  Dissemination,4.0,845,22
